fn,bbox
car_ims/000046.jpg,14 16 268 169
car_ims/000047.jpg,10 18 89 61
car_ims/000048.jpg,111 54 365 190
car_ims/000049.jpg,9 33 479 276
car_ims/000050.jpg,9 3 93 41
car_ims/000051.jpg,15 10 128 76
car_ims/000052.jpg,11 60 796 535
car_ims/000053.jpg,92 93 585 399
car_ims/000054.jpg,5 9 87 61
car_ims/000055.jpg,8 5 85 69
car_ims/000056.jpg,70 94 439 341
car_ims/000057.jpg,87 6 552 348
car_ims/000058.jpg,28 14 118 80
car_ims/000059.jpg,11 8 106 80
car_ims/000060.jpg,53 108 544 413
car_ims/000061.jpg,31 12 270 160
car_ims/000062.jpg,4 13 145 109
car_ims/000063.jpg,8 12 135 83
car_ims/000064.jpg,11 16 135 93
car_ims/000065.jpg,28 117 415 274
car_ims/000066.jpg,45 39 729 414
car_ims/000067.jpg,3 3 639 480
car_ims/000068.jpg,18 30 133 93
car_ims/000069.jpg,24 141 721 396
car_ims/000070.jpg,31 20 226 119
car_ims/000071.jpg,17 23 240 135
car_ims/000072.jpg,6 20 137 73
car_ims/000073.jpg,111 177 920 642
car_ims/000074.jpg,32 69 487 316
car_ims/000075.jpg,2 7 102 57
car_ims/000076.jpg,26 62 763 504
car_ims/000077.jpg,46 115 623 469
car_ims/000078.jpg,25 123 589 421
car_ims/000079.jpg,20 79 654 425
car_ims/000080.jpg,5 14 160 114
car_ims/000081.jpg,62 73 718 441
car_ims/000082.jpg,5 4 136 87
car_ims/000083.jpg,67 98 283 213
car_ims/000084.jpg,40 60 354 237
car_ims/000085.jpg,12 18 113 78
car_ims/000086.jpg,26 72 774 480
car_ims/000087.jpg,24 1 368 199
car_ims/000088.jpg,2 13 160 120
car_ims/000089.jpg,11 13 84 60
car_ims/000122.jpg,108 147 675 434
car_ims/000123.jpg,85 43 731 324
car_ims/000124.jpg,208 97 909 447
car_ims/000125.jpg,24 55 588 405
car_ims/000126.jpg,27 82 618 400
car_ims/000127.jpg,97 7 888 336
car_ims/000128.jpg,24 38 427 277
car_ims/000129.jpg,30 11 269 196
car_ims/000130.jpg,51 51 441 289
car_ims/000131.jpg,186 151 459 347
car_ims/000132.jpg,56 114 638 448
car_ims/000133.jpg,12 33 292 171
car_ims/000134.jpg,2 104 300 203
car_ims/000135.jpg,32 96 565 362
car_ims/000136.jpg,29 55 279 177
car_ims/000137.jpg,14 98 536 299
car_ims/000138.jpg,73 84 516 306
car_ims/000139.jpg,42 103 451 277
car_ims/000140.jpg,41 161 449 337
car_ims/000141.jpg,76 111 580 458
car_ims/000142.jpg,51 90 460 247
car_ims/000143.jpg,129 32 861 602
car_ims/000144.jpg,13 82 691 432
car_ims/000145.jpg,13 165 583 417
car_ims/000146.jpg,28 27 397 217
car_ims/000147.jpg,214 492 1345 967
car_ims/000148.jpg,115 322 1085 674
car_ims/000149.jpg,129 213 899 614
car_ims/000150.jpg,11 87 470 268
car_ims/000151.jpg,37 30 292 190
